sample,code,station,site_name,type,lat,long,trench,lat_proj,province,simpl_prov,plate,region,geol_prov,rocks,volcano,anions,cations,alt,temp,mmhg,do,spc,ph,fnu,hum,temp_amb,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,tn,tn_d15,co2,he,h2,o2,ar,n2,ch4,co2_d13,rc_ra,X,co2_he3,cells_flu,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,h2s,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
DCO_LLO_Bv4v5..PFS_PF170222,PF,PF170222,Pompilo's finca,S,10.518466,-84.11518,202.082141511925,8.84558682642053,backarc,backarc,rough,backarc,6,QDF,b,iw,g4,53,28.7,754.3,4.3,3726,5.81,187.6,57.4,34,23.72,1.24,1.16,-5.15,1.6602958,-25.1447405,3.7682868,-24.0904081,0.3022001,2.9612289,997.6,NA,0.00025,0.47037,0.04483,1.8926,0.01771,-3.64,1.720275214,1.301630026,37393730178425.1,1000000,56.8,5.5,62.4,225.8,16.29,14.85,3.46,18.878954809931,0,18.878954809931,1.372101799,0.5586677396,50.82270609,8.36717384,3.683564902,0.1067494481,0.3123565216,0.0006354180521,0.003915295622,0.377054253,0,17.49594873,0.1823808533,0.05,0.0109635,0,0.0006977894737,0.006154285714,12.38368609,0,1.104799488,6.313354733,0.809657606,68.182,147.2,34.1,674.1,218.3,25.1,196.6,148.4,0.243,2.08
DCO_LLO_Bv4v5..PGF_PG170224,PG,PG172224,Poas Volcano Laguna,F,10.188962,-84.227388,163.901335159098,8.83228096907908,arc,arc,rough,poas,4,QPV,Po,vl,g1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1531187,-28.9067464,0.5364759,-28.3843072,0.0372921,-3.0693443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75800,6.8,4.2,11,17.4,3.8,1.06,3.02,1.18300954283927,0,1.18300954283927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..PGS_PG170224,PG,PG172224,Poas Volcano Laguna,S,10.188962,-84.227388,163.901335159098,8.83228096907908,arc,arc,rough,poas,4,QPV,Po,vl,g1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1531187,-28.9067464,0.5364759,-28.3843072,0.0372921,-3.0693443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75800,6.8,4.2,11,17.4,3.8,1.06,3.02,1.18300954283927,0,1.18300954283927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..PLS_PL170224,PL,PL170224,Poas Volcano lake,S,10.196777,-84.229892,164.52240974635,8.83495279679573,arc,arc,rough,poas,4,QPV,Po,vl,g1,2334,37.6,589.6,46.6,91900,0.85,250,NA,NA,0.86,-2.97,0.57,-20.66,0.0226216,-22.1303128,0.0038383,1.1829,NA,NA,971.2,0.00792,7.37495,0.10442,0.09272,5.20434,0.00048,NA,NA,NA,NA,3110,6.4,3,9.3,46.1,2.49,NA,3.48,0,2.36028,-2.91017641436326,52,2.096462251,145.7421328,113.1002195,16.0532882,0.08678120416,7.310236881,0.06649270318,0.1344737322,1.597294276,0,109.7164054,99.21702685,7.2,0.033465,0,0,0.006504285714,3.361191739,0.02071111111,1.5951711,4.852382305,18.08279626,NA,9.6,2,62.2,3.3,1.2,59,6.6,0.135,0.71
DCO_LLO_Bv4v5..QHF2_QH170212_2,QH,QH170213_2,Quepos Hotsprings 2,F,9.56171,-84.123251,106.11774199329,8.68345115928678,forearc,forearc,rough,forearc,1,CSS,f,dcl,g3,298,48.7,733.4,2.5,4100,8.53,3,83,25.2,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,3.2305294,-17.1690988,0,0.00527,0.00287,0.30103,0.4101,23.4689,0.04669,NA,3.102987901,27.016097915,NA,3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.5079602285,0.4988312713,1.829645625,2.505139462,0.1091486356,0.06581423931,0.0009479190858,0.004753002002,0.01984468563,0.239206315789474,14.64322479,0.948314256,3.2,0.0071385,0.05062935484,0.0004303157895,0.006888571429,10.70151348,0.04985777778,0.135086445,0.02203045267,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
DCO_LLO_Bv4v5..QHS1_QH170213_1,QH,QH170213_1,Quepos Hotsprings 1,S,9.56171,-84.123251,106.11774199329,8.68345115928678,forearc,forearc,rough,forearc,1,CSS,f,dcl,g3,298,48.7,733.4,2.5,4100,8.53,3,83,25.2,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,3.2305294,-17.1690988,0,0.00527,0.00287,0.30103,0.4101,23.4689,0.04669,NA,3.102987901,27.016097915,NA,3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.201559718,0.5035597527,0.1775163077,5.729705502,5.443732716,0.1499329997,0.1289671492,0.001197920007,0.004865008588,0.02585823277,0.202046315789474,25.21208028,2.057644017,NA,0.012274625,0.09562903226,0.0005325263158,0.01170285714,17.02247261,2.348051667,0.2274800512,0.02465720165,4.858632668,11.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..QHS2_QH170213_2,QH,QH170213_2,Quepos Hotsprings 2,S,9.561575,-84.123468,106.09441067604,8.68350929645749,forearc,forearc,rough,forearc,1,CSS,f,dcl,g3,300,36.7,733.3,47.3,2692,8.69,2.3,NA,NA,0.11,-17.98,0.22,-22.37,0.9625883,-29.8194801,4.1944778,-27.9711664,0.8514057,-20.4254502,NA,NA,NA,NA,NA,NA,NA,NA,2.784002057,42.360660164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.5079602285,0.4988312713,1.829645625,2.505139462,0.1091486356,0.06581423931,0.0009479190858,0.004753002002,0.01984468563,0.239206315789474,14.64322479,0.948314256,20.7,0.0071385,0.05062935484,0.0004303157895,0.006888571429,10.70151348,0.04985777778,0.135086445,0.02203045267,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
DCO_LLO_Bv4v5..QNF_QN170220,QN,QN170220,Quebrada naranja,F,10.495573,-84.696714,173.681669706351,9.05788845137252,arc,arc,rough,guanacaste,4,QPI,Ar,iw,g1,429,22.9,720.3,84,196.7,5.6,87,NA,NA,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,0.0255055,0.4795519,926.4,0.00427,0.00354,0.77759,0.10627,8.08608,64.67717,-2.76,4.89149281,1.820948932,40666504402.2662,186000,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.5739095116,4.110804951,1.047733179,0.7912181161,0.02649858349,0.1626398038,0.000677084849,0.004881342907,0.03608126934,0,0.3128501408,0.02948772112,0.05,0,0.03859596774,0.001112,0,0.46353,0.519565,0.1191851662,0.2939415638,0.7302600998,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
DCO_LLO_Bv4v5..QNS_QN170220,QN,QN170220,Quebrada naranja,S,10.495573,-84.696714,173.681669706351,9.05788845137252,arc,arc,rough,guanacaste,4,QPI,Ar,iw,g1,429,22.9,720.3,84,196.7,5.6,87,NA,NA,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,0.0255055,0.4795519,926.4,0.00427,0.00354,0.77759,0.10627,8.08608,64.67717,-2.76,4.89149281,1.820948932,40666504402.2662,186000,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.5739095116,4.110804951,1.047733179,0.7912181161,0.02649858349,0.1626398038,0.000677084849,0.004881342907,0.03608126934,0,0.3128501408,0.02948772112,NA,0,0.03859596774,0.001112,0,0.46353,0.519565,0.1191851662,0.2939415638,0.7302600998,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
DCO_LLO_Bv4v5..RSS_RS170216,RS,RS170216,Ranchero etl Salitral,S,10.232331,-85.531602,99.4296908696483,9.40942299322849,outer_forearc,forearc,smooth,forearc,2,QA,f,gw,g3,82,29.4,753.1,5.6,273.1,9.96,2,63.3,32.2,0.25,-16.04,0.3,-24.55,1.1900778,-27.6394389,1.4260331,-27.0295283,0.0955933,2.195146,0,0,0.22825,106.49979,24.29833,868.27984,0.6938,NA,2.65618889425,30.67258933475,1181184941.61419,361000,330,209,539,94.7,10.69,2.35,3.61,1.71862976936435,0,1.71862976936435,14.17343058,0.571250198,0.2932440451,0.6458062352,0.08657330307,0.02774864055,0.06092788407,0.0004062507108,0.005462382134,0.03547991402,0.007140526315789,0.6473185915,0.06500863684,0.05,0.000614875,0,0.0007668421053,0,1.603995652,0.008457777778,0.0184258312,0.01088395062,0.08401446384,25.685,73.7,199.9,1865.4,102.9,110.8,138.5,145.9,0.34,1.29
DCO_LLO_Bv4v5..SIS_SI170217,SI,SI170217,El Sitio,S,10.301239,-85.610549,99.6364205201121,9.47661828954692,outer_forearc,forearc,smooth,forearc,1,QA,f,iw,g3,36,35.9,757.8,36.2,3469,9.83,2.7,40.6,34.5,2.24,-6.43,0.4,-18.27,4.4480836,-27.4905224,5.9599208,-26.6606266,0.3527617,1.6772048,67.4,0.08551,0.00342,4.01363,10.80001,917.73416,0,NA,0.392890805,5.045994072,2173955349.6088,18800,13.8,9,22.8,92,11.21,7.99,11.97,46.3943794490264,0,46.3943794490264,5.597937981,0.5133702201,0.8379068072,0.779351736,0.1198227677,0.03094213961,0.1047432291,0.0006979182484,0.00563506202,0.03487855873,0.010515263157895,0.6368552113,0.03013100937,57.8,0.00035475,0.02674822581,0.0007331578947,0.00034,1.11079087,0,0.03014731458,0.02273539095,0.1492406484,33.157,74.1,100.3,1065.7,64.3,55.8,69.5,96.6,0.245,0.73
DCO_LLO_Bv4v5..SLF_SL170214,SL,SL170214,Santa Lucia,F,10.290599,-84.972435,140.30086794004,9.12932338108621,forearc,forearc,smooth,forearc,3,TV,f,iw,g3,165,57,741.9,22,2824,6.12,7,50.2,35,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,0.2397089,0.6315914,NA,NA,NA,NA,NA,NA,NA,NA,3.84,34.7,101000000000,NA,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.5283095691,1.431007095,4.682016968,3.105185261,0.06126558105,0.1289671492,0.002135424211,0.00728255746,0.0306690725,0.081581052631579,3.52374338,5.019929032,0.05,0.0017215,0.02654467742,0.001474631579,0.07198285714,11.83016174,0.3100688889,0.5385846547,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
DCO_LLO_Bv4v5..SLS_SL170214_S,SL,SL170214,Santa Lucia,S,10.290599,-84.972435,140.30086794004,9.12932338108621,forearc,forearc,smooth,forearc,3,TV,f,iw,g3,165,57,741.9,22,2824,6.12,7,50.2,35,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,0.2397089,0.6315914,NA,NA,NA,NA,NA,NA,NA,NA,3.84,34.7,101000000000,NA,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.5283095691,1.431007095,4.682016968,3.105185261,0.06126558105,0.1289671492,0.002135424211,0.00728255746,0.0306690725,0.081581052631579,3.52374338,5.019929032,NA,0.0017215,0.02654467742,0.001474631579,0.07198285714,11.83016174,0.3100688889,0.5385846547,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
DCO_LLO_Bv4v5..STS_ST170223,ST,ST170223,Santa Theresa,S,10.002942,-83.827507,164.110397508183,8.64453948526637,arc,arc,rough,poas,4,QPV,Ir,gw,g1,2209,55.8,585.6,4.7,2725,4.51,3.5,56,26.6,9.94,-3.88,0.81,-11.4,NA,NA,NA,NA,NA,NA,187.3,0,0.02684,0.81927,0.48182,19.49214,0.00442,NA,NA,NA,NA,638000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..TCF_TC170221,TC,TC170221,El Tucano site,F,10.366486,-84.381208,172.668521924567,8.93719867936466,arc,arc,smooth,poas,4,QPV,Pl,gw,g3,553,60,718,18.7,3500,6.24,8.8,82.7,25.1,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,0.9231362,6.3482766,965.4,0.01025,0.00027,0.22967,0.62935,32.74274,0.94095,-4.54,6.567437499,76.539148558,24030181238.2879,51600,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.9049404114231,19.9049404114231,0,0.9766151589,0.6710610076,7.407716018,1.236510741,1.847175862,0.1405313639,0.365682016,0.002052090456,0.003679620819,0.02826365241,0,18.53446676,0.05892986472,0.05,0.012649125,0.04803645161,0.001310210526,0.05299428571,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
DCO_LLO_Bv4v5..TCS_TC170221_2,TC,TC170221,El Tucano site,S,10.366486,-84.381208,172.668521924567,8.93719867936466,arc,arc,smooth,poas,4,QPV,Pl,gw,g3,553,60,718,18.7,3500,6.24,8.8,82.7,25.1,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,0.9231362,6.3482766,965.4,0.01025,0.00027,0.22967,0.62935,32.74274,0.94095,-4.54,6.567437499,76.539148558,24030181238.2879,51600,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.9049404114231,19.9049404114231,0,0.9766151589,0.6710610076,7.407716018,1.236510741,1.847175862,0.1405313639,0.365682016,0.002052090456,0.003679620819,0.02826365241,0,18.53446676,0.05892986472,NA,0.012649125,0.04803645161,0.001310210526,0.05299428571,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
DCO_LLO_Bv4v5..VCS_VC170218,VC,VC170218,Blue River Volcancito,S,10.897847,-85.326461,173.795471797414,9.45919660888363,arc,arc,smooth,guanacaste,4,QPV,Ri,gw,g2,436,59.8,724.5,17.1,6132,5,NA,71.3,29,6.13,-1.28,1,-10.22,0.3254736,-18.2390064,0.4823759,-6.7290496,0.0212435,-5.7658384,925.1,0.01846,0.00616,0.3363,1.27331,71.21107,2.02196,-4.17,6.880123347,50.474732491,5107035031.64925,2320000,23.1,2.8,25.9,181.3,0.72,2.54,1.04,1.08958254807897,0,1.08958254807897,0.526655332,0.4887535605,43.16693495,9.319398034,7.897110226,0.0885149756,0.18684214,0.003135429997,0.005261701003,0.02525687793,0.006398947368421,27.06923465,4.652690531,0.05,0.011980375,0.03863209677,0.001424,0.02751714286,8.551337826,1.037713333,2.766016113,10.71958025,7.377290274,37.36,0.9,0.6,515.6,407.9,1.5,1.9,5.9,0.004,0.09
